AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);LATITUDE;LONGITUDE
OMSJ;SHARJAH;;;EMIRADOS ÁRABES UNIDOS;ÁSIA; 25.32859992980957;55.5172004699707
VTBD;BANGKOK;;;TAILÂNDIA;ÁSIA; 13.9125995636;100.607002258
FGSL;MALABO;;;GUINÉ EQUATORIAL;ÁFRICA; 3.755270004272461;8.708720207214355
DNPO;"PORT HARCOURT;  RIVERS STATE";;;NIGÉRIA;ÁFRICA; 5.0154900550842285;6.94959020614624
HKJK;NAIROBI;;;QUÊNIA;ÁFRICA; -1.31923997402;36.9277992249
KSEA;"SEATTLE; WASHINGTON";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 47.449001;-122.308998
FAUP;UPINGTON;;;ÁFRICA DO SUL;ÁFRICA; -28.39909935;21.260200500499998
HECA;CAIRO;;;EGITO;ÁFRICA; 30.12190055847168;31.40559959411621
FAOR;JOHANNESBURG;;;ÁFRICA DO SUL;ÁFRICA; -26.1392;28.246
PANC;"ANCHORAGE; ALASKA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 61.174400329589844;-149.99600219726562
RJCC;"CHITOSE; HOKKAIDO";;;JAPÃO;ÁSIA; 42.77519989013672;141.69200134277344
SCIE;CONCEPCIÓN;;;CHILE;AMÉRICA DO SUL; -36.772701;-73.063103
GBYD;BANJUL;;;GÂMBIA;ÁFRICA; 13.338000297546387;-16.65220069885254
FYWH;WINDHOEK;;;NAMÍBIA;ÁFRICA; -22.4799;17.4709
SEQM;QUITO;;;EQUADOR;AMÉRICA DO SUL; -0.129166666667;-78.3575
RJAA;"NARITA; CHIBA";;;JAPÃO;ÁSIA; 35.764702;140.386002
SDCO;SOROCABA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.478001;-47.490002
SIMK;FRANCA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.592199;-47.3829
SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.861300468400001;-52.3889007568
FALA;LANSERIA;;;ÁFRICA DO SUL;ÁFRICA; -25.938499450699997;27.9260997772
FLLS;LUSAKA;;;ZÂMBIA;ÁFRICA; -15.3308;28.4526
SBGP;GAVIÃO PEIXOTO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.773700714111328;-48.40510177612305
FACT;CAPE TOWN;;;ÁFRICA DO SUL;ÁFRICA; -33.9648017883;18.6016998291
YLIS;"LISMORE; NEW SOUTH WALES";;;AUSTRÁLIA;OCEANIA; -28.8302993774;153.259994507
ESSA;STOCKHOLM;;;SUÉCIA;EUROPA; 59.651901245117;17.918600082397
SDUB;UBATUBA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.441099166870117;-45.075599670410156
SWYY;NOVA XAVANTINA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.887778282165527;-52.27694320678711
SWDB;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.576944;-52.218887
SNMH;PIRENÓPOLIS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -4.476961;-43.889902
SJGU;ARAGUATINS;TO;NORTE;BRASIL;AMÉRICA DO SUL; -5.6844401359558105;-48.1156005859375
SNXL;QUERÊNCIA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -12.616667;-52.153889
FVHA;HARARE;;;ZIMBÁBUE;ÁFRICA; -17.931801;31.0928
FCBB;BRAZZAVILLE;;;CONGO;ÁFRICA; -4.251699924468994;15.253000259399414
EBLG;LIÈGE;;;BÉLGICA;EUROPA; 50.63740158081055;5.443220138549805
EBBR;BRUSSELS/ZAVENTEM;;;BÉLGICA;EUROPA; 50.901401519800004;4.48443984985
VHHH;CHEK LAP KOK;;;HONG KONG;ÁSIA; 22.308901;113.915001
LFBD;BORDEAUX;;;FRANÇA;EUROPA; 44.828300476100004;-0.715556025505
WSSL;SELETAR;;;SINGAPURA;ÁSIA; 1.416949987411499;103.86799621582031
SAME;"MENDOZA; MENDOZA PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -32.8316993713;-68.7929000854
MMPR;"PUERTO VALLARTA; JALISCO";;;MÉXICO;AMÉRICA DO NORTE; 20.680099487304688;-105.25399780273438
TAPA;"SAINT JOHN´S; ANTIGUA";;;ANTÍGUA E BARBUDA;AMÉRICA CENTRAL; 17.1367;-61.792702
SBPC;POÇOS DE CALDAS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.843000411987;-46.567901611328
SDRS;RESENDE;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.4785003662;-44.4803009033
KCOE;"COEUR D´ALENE; IDAHO";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 47.77429962;-116.8199997
UKLL;LVIV;;;UCRÂNIA;EUROPA; 49.8125;23.956100463867188
UWLW;VOSTOCHNY AIRPORT;;;RÚSSIA;EUROPA; 54.4010009765625;48.80270004272461
ENBR;"FLESLAND; BERGEN; HORDALAND";;;NORUEGA;EUROPA; 60.29339981;5.218140125
LFML;MARSEILLE;;;FRANÇA;EUROPA; 43.439271922;5.22142410278
UMMS;MINSK;;;BIELORRÚSSIA;EUROPA; 53.882499694824;28.030700683594
LBBG;BURGAS;;;BULGÁRIA;EUROPA; 42.56959915161133;27.515199661254883
UWUU;UFA;;;RÚSSIA;EUROPA; 54.557498931885;55.874401092529
EGSS;"LONDON; ENGLAND";;;REINO UNIDO;EUROPA; 51.8849983215;0.234999999404
RCKH;KAOHSIUNG CITY;;;FORMOSA (TAIWAN);ÁSIA; 22.57710075378418;120.3499984741211
UHHH;KHABAROVISK;;;RÚSSIA;EUROPA; 48.52799987793;135.18800354004
CYYT;ST. JOHN´S;;;CANADÁ;AMÉRICA DO NORTE; 47.618598938;-52.7518997192
KROW;"ROSWELL; NEW MEXICO";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.301601;-104.530998
KELP;"EL PASO; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 31.80719948;-106.3779984
SKPE;PEREIRA;;;COLÔMBIA;AMÉRICA DO SUL; 4.81267;-75.7395
MREC;EL CARMEN DE SIQUIRRES;;;COSTA RICA;AMÉRICA CENTRAL; 10.20199966430664;-83.47219848632812
KAFW;"FORT WORTH; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 32.9875984192;-97.31880187990001
LEMG;MÁLAGA;;;ESPANHA;EUROPA; 36.67490005493164;-4.499110221862793
MTPP;PORT-DE-PAIX;;;HAITI;AMÉRICA CENTRAL; 18.579999923706055;-72.2925033569336
EGGW;"LONDON; ENGLAND";;;REINO UNIDO;EUROPA; 51.874698638916016;-0.36833301186561584
MMMY;MONTERREY;;;MÉXICO;AMÉRICA DO NORTE; 25.7784996033;-100.107002258
UUWW;MOSCOW;;;RÚSSIA;EUROPA; 55.5914993286;37.2615013123
CYOW;"OTTAWA; ONTARIO";;;CANADÁ;AMÉRICA DO NORTE; 45.3224983215332;-75.66919708251953
SBTV;PORTO SEGURO;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -16.54083251953125;-39.1077766418457
SUSO;"SALTO; SALTO";;;URUGUAI;AMÉRICA DO SUL; -31.438499450683594;-57.98529815673828
LEZG;ZARAGOZA;;;ESPANHA;EUROPA; 41.66619873046875;-1.0415500402450562
FWKI;LILONGWE;;;MALAUÍ;ÁFRICA; -13.7894001007;33.78099823
SAWC;"EL CALAFATE; SANTA CRUZ PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -50.2803;-72.053101
SKCG;CARTAGENA;;;COLÔMBIA;AMÉRICA DO SUL; 10.4424;-75.513
HAAB;ADDIS ABABA;;;ETIÓPIA;ÁFRICA; 8.97789001465;38.799301147499996
DXXX;LOMÉ;;;TOGO;ÁFRICA; 6.165609836578369;1.2545100450515747
FKKB;KRIBI;;;CAMARÕES;ÁFRICA; 2.8738899231;9.9777803421
FKKD;DOUALA;;;CAMARÕES;ÁFRICA; 4.0060801506;9.719479560849999
KBHM;"BIRMINGHAM; ALABAMA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.56290054;-86.75350189
SAZM;"MAR DEL PLATA; BUENOS AIRES PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -37.9342;-57.5733
EINN;"SHANNON; COUNTY CLARE";;;IRLANDA;EUROPA; 52.702;-8.92482
LHBP;BUDAPEST;;;HUNGRIA;EUROPA; 47.42976;19.261093
GMMX;MARRAKECH/MENARA;;;MARROCOS;ÁFRICA; 31.606899261499997;-8.03629970551
LEVT;ÁLAVA;;;ESPANHA;EUROPA; 42.8828010559082;-2.7244699001312256
EVRA;RIGA;;;LETÔNIA;EUROPA; 56.92359924316406;23.971099853515625
EGYP;FALKLAND ISLANDS;;;REINO UNIDO;EUROPA; -51.82279968261719;-58.447200775146484
SCTE;PUERTO MONTT;;;CHILE;AMÉRICA DO SUL; -41.438899993896484;-73.09400177001953
SPQT;"IQUITOS; LORETO REGION";;;PERU;AMÉRICA DO SUL; -3.7847399711608887;-73.30879974365234
TXKF;FERRY REACH;;;BERMUDAS;AMÉRICA DO NORTE; 32.36399841308594;-64.67870330810547
EDDP;LEIPZIG/HALLE;;;ALEMANHA;EUROPA; 51.423889;12.236389
SBLJ;LAGES;SC;SUL;BRASIL;AMÉRICA DO SUL; -27.782100677499997;-50.28150177
SSOE;SÃO MIGUEL DO OESTE;SC;SUL;BRASIL;AMÉRICA DO SUL; -26.781600952148438;-53.503501892089844
SWBR;BORBA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -4.4063401222229;-59.60240173339844
SNEB;PARAGOMINAS;PA;NORTE;BRASIL;AMÉRICA DO SUL; -3.025278091430664;-47.31694412231445
SBMY;MANICORÉ;AM;NORTE;BRASIL;AMÉRICA DO SUL; -5.8113799095154;-61.278301239014
SWMW;MAUÉS;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.37217;-57.7248
SWNK;BOCA DO ACRE;AM;NORTE;BRASIL;AMÉRICA DO SUL; -8.83456;-67.312401
DBBB;COTONOU;;;BENIM;ÁFRICA; 6.357230186462402;2.384350061416626
SBTG;TRÊS LAGOAS;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -20.753672;-51.682110
SNVB;VALENÇA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.2965;-38.992401
SSTL;TRÊS LAGOAS;MS;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -20.754199981689;-51.684200286865
GMMN;CASABLANCA;;;MARROCOS;ÁFRICA; 33.36750030517578;-7.589970111846924
SBFC;FRANCA;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.584617;-47.381821
LTFJ;ISTANBUL;;;TURQUIA;EUROPA; 40.898601532;29.3092002869
HLMS;MISURATA;;;LÍBIA;ÁFRICA;  32.321913; 15.057406
SBPN;PORTO NACIONAL;TO;NORTE;BRASIL;AMÉRICA DO SUL; -10.719402;-48.3997
SWCB;CAMPOS BELOS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.006213;-46.711208
SDOV;MOZARLÂNDIA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.770400047302246;-50.5640983581543
SWVC;VILA RICA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -9.979443550109863;-51.1422233581543
SJVO;ARAGARÇAS;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.8994;-52.2411
SNPP;CAIRUI;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.428781;-38.913689
SWWA;PORANGATU;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.404800415039062;-49.15829849243164
FPST;SÃO TOMÉ;;;SÃO TOMÉ E PRÍNCIPE;ÁFRICA; 0.3781749904155731;6.7121500968933105
GABS;BAMAKO;;;MALI;ÁFRICA; 12.5335;-7.94994
LFOK;CHÂLONS-EN-CHAMPAGNE;;;FRANÇA;EUROPA; 48.7733333333;4.206111111
FCPP;POINTE-NOIRE;;;CONGO;ÁFRICA; -4.816030025482178;11.88659954071045
VOBL;BENGALURU;;;ÍNDIA;ÁSIA; 13.1979;77.706299
LFPB;PARIS;;;FRANÇA;EUROPA; 48.969398498535156;2.441390037536621
MMTP;"TAPACHULA; CHIAPAS";;;MÉXICO;AMÉRICA DO NORTE; 14.7943000793;-92.3700027466
SBSG;SÃO GONÇALO DO AMARANTE;RN;NORDESTE;BRASIL;AMÉRICA DO SUL; -5.768056;-35.376111
OEJN;JEDDAH;;;ARÁBIA SAUDITA;ÁSIA; 21.6796;39.156502
GMAD;AGADIR/ AL MASSLRA;;;MARROCOS;ÁFRICA; 30.325000762939453;-9.413069725036621
UNNT;NOVOSIBIRSK;;;RÚSSIA;EUROPA; 55.012599945068;82.650703430176
GMME;RABAT;;;MARROCOS;ÁFRICA; 34.051498;-6.75152
EDDK;COLOGNE/BONN;;;ALEMANHA;EUROPA; 50.8658981323;7.1427397728
UIUU;ULAN-UDE;;;RÚSSIA;EUROPA; 51.80780029296875;107.43800354003906
KONT;"ONTARIO; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 34.055999755859375;-117.60099792480469
SVCP;CARUPANO;;;VENEZUELA;AMÉRICA DO SUL; 10.660014152526855;-63.261680603027344
SIRI;MARAÚ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.906044;-38.939978
SNGR;CUMARU DO NORTE;PA;NORTE;BRASIL;AMÉRICA DO SUL; -7.783610820770264;-51.133888244628906
UUEE;MOSCOW;;;RÚSSIA;EUROPA; 55.972599;37.4146
LFPO;ORLY (NEAR PARIS);;;FRANÇA;EUROPA; 48.7233333;2.3794444
SAMA;GENERAL ALVEAR;;;ARGENTINA;AMÉRICA DO SUL; -35.058898925799994;-67.6928024292
SAMM;"MALARGÜE; MENDOZA PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -35.493598938;-69.5743026733
SAVT;TRELEW;;;ARGENTINA;AMÉRICA DO SUL; -43.2105;-65.2703
EGCC;"MANCHESTER; ENGLAND";;;REINO UNIDO;EUROPA; 53.35369873046875;-2.2749500274658203
EHRD;ROTTERDAM;;;HOLANDA;EUROPA; 51.956902;4.43722
MMTO;TOLUCA;;;MÉXICO;AMÉRICA DO NORTE; 19.3370990753;-99.56600189210002
SBPB;PARNAÍBA;PI;NORDESTE;BRASIL;AMÉRICA DO SUL; -2.89374995232;-41.73199844359999
SNTF;TEIXEIRA DE FREITAS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -17.524499893188;-39.66849899292
SNJD;FEIRA DE SANTANA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.2003;-38.906799
LEZL;SEVILLA;;;ESPANHA;EUROPA; 37.417999267578125;-5.8931097984313965
MUCU;"SANTIAGO DE CUBA; SANTIAGO DE CUBA";;;CUBA;AMÉRICA CENTRAL; 19.96980094909668;-75.83540344238281
MUHG;"HOLGUÍN; HOLGUÍN";;;CUBA;AMÉRICA CENTRAL; 20.785600662231445;-76.31510162353516
EFHK;VANTAA;;;FINLÂNDIA;EUROPA; 60.317199707031;24.963300704956
DIAP;ABIDJAN;;;COSTA DO MARFIM;ÁFRICA; 5.261390209197998;-3.9262900352478027
EDDT;BERLIN;;;ALEMANHA;EUROPA; 52.5597;13.2877
FKYS;YAOUNDÉ;;;CAMARÕES;ÁFRICA; 3.722559928894043;11.553299903869629
MZBZ;BELIZE;;;BELIZE;AMÉRICA CENTRAL; 17.539100646972656;-88.30819702148438
EKCH;KASTRUP NEAR COPENHAGEN;;;ILHAS FEROÉ;EUROPA; 55.617900848389;12.656000137329
KDHN;"DOTHAN; ALABAMA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 31.321300506591797;-85.44960021972656
LTAI;ANTALYA;;;TURQUIA;EUROPA; 36.898701;30.800501
SBSC;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL; -22.9324;-43.719101
GVPR;PRAIA;;;CABO VERDE;ÁFRICA;  14.941482;-23.484557
EGDX;"ST ATHAN; WALES";;;REINO UNIDO;EUROPA; 51.4048;-3.43575
EGSH;"NORWICH; ENGLAND";;;REINO UNIDO;EUROPA; 52.6758003235;1.28278005123
MDLR;LA ROMANA;;;REPÚBLICA DOMINICANA;AMÉRICA CENTRAL; 18.450700759887695;-68.91179656982422
KPDX;"PORTLAND; OREGON";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 45.58869934;-122.5979996
EGMH;"RAMSGATE; ENGLAND";;;REINO UNIDO;EUROPA; 51.342201;1.34611
CYWG;"WINNIPEG; MANITOBA";;;CANADÁ;AMÉRICA DO NORTE; 49.909999847399995;-97.2398986816
EGNT;"NEWCASTLE UPON TYNE; ENGLAND";;;REINO UNIDO;EUROPA; 55.037498474121094;-1.6916699409484863
FQMA;MAPUTO;;;MOÇAMBIQUE;ÁFRICA; -25.920799;32.572601
MMQT;"QUERÉTARO; QUERÉTARO";;;MÉXICO;AMÉRICA DO NORTE; 20.6173;-100.185997
EGKK;"LONDON; ENGLAND";;;REINO UNIDO;EUROPA; 51.148102;-0.190278
LPLA;TERCEIRA ISLAND/PRAIA DA VITORIA/ANGRA DO HEROÍSMO AREA;;;PORTUGAL;EUROPA; 38.761799;-27.090799
SCSE;LA SERENA;;;CHILE;AMÉRICA DO SUL; -29.916201;-71.199501
LFSB;"MULHOUSE; FRANCE/BASEL; SWITZERLAND";;;FRANÇA;EUROPA; 47.59;7.529167
MSLP;SAN SALVADOR;;;EL SALVADOR;AMÉRICA CENTRAL; 13.4409;-89.055702
SSRS;BARREIRINHAS;MA;NORDESTE;BRASIL;AMÉRICA DO SUL; -27.191944122314453;-49.831390380859375
SBIC;ITACOATIARA;AM;NORTE;BRASIL;AMÉRICA DO SUL; -3.1272599697113037;-58.481201171875
SBMT;SÃO PAULO;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -23.5090999603;-46.6377983093
SWZM;SÃO SIMÃO;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -18.986499786376953;-50.5635986328125
SNBX;BARRA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -11.08080005645752;-43.147499084472656
SWWU;URUAÇU;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.525555610656738;-49.137779235839844
SWPQ;PORTO ALEGRE DO NORTE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -10.861110687256;-51.685001373291
SWXV;NOVA XAVANTINA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.6983003616333;-52.34640121459961
SNMJ;MARACÁS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -13.433300018299999;-40.4333000183
SNBM;MURIAÉ;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.126100540161133;-42.39440155029297
SWYK;POCONÉ;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -17.062599182128906;-56.58369827270508
SNQW;JACAREACANGA;PA;NORTE;BRASIL;AMÉRICA DO SUL; -7.564736;-57.739871
SSND;SÃO FÉLIX DO ARAGUAIA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -11.16;-52.82
SIQE;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -15.937469;-47.726636
SSNC;APORÉ;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -18.945618;-51.923416
SWEK;CANARANA;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.574443817138672;-52.27055740356445
SWUA;SÃO MIGUEL DO ARAGUAIA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -13.331299781799316;-50.197601318359375
SWNH;ARUANÃ;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.932499885559082;-51.048099517822266
SSAC;SORRISO;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -19.7080554962;-55.4211120605
SJQP;COCALINHO;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -12.801619;-50.628347
SWDM;DIAMANTINO;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -14.376899719238281;-56.40039825439453
SBIT;ITUMBIARA;GO;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -18.4447002411;-49.2134017944
DRRN;NIAMEY;;;NÍGER;ÁFRICA; 13.4815;2.18361
SBGS;PONTA GROSSA;PR;SUL;BRASIL;AMÉRICA DO SUL; -25.188309;-50.141848
KMCI;"KANSAS CITY; MISSOURI";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.2976;-94.713898
EGVN;"BRIZE NORTON; ENGLAND";;;REINO UNIDO;EUROPA; 51.75;-1.58362
LEST;LA CORUÑA;;;ESPANHA;EUROPA; 42.89630126953125;-8.415140151977539
SKLT;LETICIA;;;COLÔMBIA;AMÉRICA DO SUL; -4.19355;-69.9432
OMDW;JEBEL ALI;;;EMIRADOS ÁRABES UNIDOS;ÁSIA; 24.896356;55.161389
FZQA;LUBUMBASHI;;;REPÚBLICA DEMOCRÁTICA DO CONGO;ÁFRICA; -11.5913000107;27.5308990479
LKPR;PRAGUE;;;REPÚBLICA TCHECA;EUROPA; 50.1008;14.26
VAAH;AHMEDABAD;;;ÍNDIA;ÁSIA; 23.0771999359;72.63469696039999
URMM;MINERALNYE VODY;;;RÚSSIA;EUROPA; 44.225101470947266;43.08190155029297
SNDH;BARREIRAS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.162858;-45.033695
SNIC;IRECÊ;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -11.339900016784668;-41.84700012207031
SASA;"SALTA; SALTA PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -24.856000900299996;-65.4861984253
HTKJ;MOUNT KILIMANJARO;;;TANZÂNIA;ÁFRICA; -3.42940998077;37.0745010376
VDSR;SIEM REAP;;;CAMBOJA;ÁSIA; 13.410699844400002;103.81300354
VIDP;NEW DELHI;;;ÍNDIA;ÁSIA; 28.5665;77.103104
YSSY;"MASCOT; NEW SOUTH WALES";;;AUSTRÁLIA;OCEANIA; -33.94609832763672;151.177001953125
NTAA;TAHITI;;;POLINÉSIA FRANCESA;OCEANIA; -17.553699;-149.606995
SCIP;EASTER ISLAND (ISLA DE PASCUA);;;CHILE;AMÉRICA DO SUL; -27.1648006439;-109.42199707
SASO;"ORÁN; SALTA PROVINCE";;;ARGENTINA;AMÉRICA DO SUL; -23.1527996063;-64.3292007446
DNYO;"YOLA;  ADAMAWA STATE";;;NIGÉRIA;ÁFRICA; 9.257550239562988;12.430399894714355
KCWF;"LAKE CHARLES; LOUISIANA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 30.2105998993;-93.14320373540001
EKBI;BILLUND;;;ILHAS FEROÉ;EUROPA; 55.7402992249;9.15178012848
GCXO;TENERIFE;;;ESPANHA;EUROPA; 28.4827003479;-16.3414993286
KSGF;"SPRINGFIELD; MISSOURI";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 37.24570084;-93.38860321
SBFE;FEIRA DE SANTANA;BA;NORDESTE;BRASIL;AMÉRICA DO SUL; -12.203116;-38.906327
SNDV;DIVINÓPOLIS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL; -20.180700302124;-44.870899200439
EDDR;SAARBRÜCKEN;;;ALEMANHA;EUROPA; 49.214599609400004;7.10950994492
SBRD;RONDONÓPOLIS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL; -16.588653;-54.721960
LFBF;TOULOUSE;;;FRANÇA;EUROPA; 43.54560089111328;1.3674999475479126
EGPF;"GLASGOW; SCOTLAND";;;REINO UNIDO;EUROPA; 55.871899;-4.43306
KCVG;"HEBRON; KENTUCKY";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 39.048801;-84.667801
KHOU;"HOUSTON; TEXAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 29.64539909;-95.27890015
KLIT;"LITTLE ROCK; ARKANSAS";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 34.729400634799994;-92.2242965698
HSMR;MEROWE;;;SUDÃO;ÁFRICA; 18.455;31.8185
VOMM;CHENNAI/MADRAS;;;ÍNDIA;ÁSIA; 12.990005493164062;80.16929626464844
SVPR;"CIUDAD GUAYANA; BOLÍVAR";;;VENEZUELA;AMÉRICA DO SUL; 8.288530349731445;-62.760398864746094
DABT;BATNA;;;ARGÉLIA;ÁFRICA; 35.752101898199996;6.308589935300001
DAAG;ALGIERS;;;ARGÉLIA;ÁFRICA; 36.691001892089844;3.215409994125366
EDDS;STUTTGART;;;ALEMANHA;EUROPA; 48.689899444599995;9.22196006775
KBGR;"BANGOR; MAINE";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 44.80739974975586;-68.8281021118164
TTCP;"SCARBOROUGH; TOBAGO";;;TRINIDAD E TOBAGO;AMÉRICA CENTRAL; 11.149700164794922;-60.83219909667969
MSSS;SAN SALVADOR;;;EL SALVADOR;AMÉRICA CENTRAL; 13.69950008392334;-89.11990356445312
SEMT;MANTA;;;EQUADOR;AMÉRICA DO SUL; -0.9460780024528503;-80.67880249023438
SCTC;TEMUCO;;;CHILE;AMÉRICA DO SUL; -38.766799926758;-72.637100219727
TFFF;"LE LAMENTIN; FORT-DE-FRANCE";;;MARTINICA;AMÉRICA DO NORTE; 14.590999603271484;-61.00320053100586
CYYC;"CALGARY; ALBERTA";;;CANADÁ;AMÉRICA DO NORTE; 51.113899231;-114.019996643
KRSW;"SOUTH FORT MYERS; FLORIDA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 26.53619956970215;-81.75520324707031
KRIV;"RIVERSIDE; CALIFORNIA";;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE; 33.880699;-117.259003
SCFA;ANTOFAGASTA;;;CHILE;AMÉRICA DO SUL; -23.444501;-70.445099
LICC;CATANIA;;;ITÁLIA;EUROPA; 37.466801;15.0664
OERK;RIAD/KING KHALED INTL;;;ARÁBIA SAUDITA;ÁSIA; 24.957599639892578;46.69879913330078
GMFK;"ERRACHIDIA; MEKNÈS-TAFILALET";;;MARROCOS;ÁFRICA; 31.9475002289;-4.39833021164
OOMS;MUSCAT;;;OMÃ;ÁSIA; 23.593299865722656;58.284400939941406
LZIB;BRATISLAVA;;;ESLOVÁQUIA;EUROPA; 48.17020034790039;17.21269989013672
SBYA;SÃO GABRIEL DA CACHOEIRA;AM;NORTE;BRASIL;AMÉRICA DO SUL; 0.6075000166893;-69.18579864502
SBLN;LINS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL; -21.663999557495;-49.730499267578
SWJP;JAPURÁ;AM;NORTE;BRASIL;AMÉRICA DO SUL; -1.4039299488067627;-69.42379760742188
CYQB;"QUEBEC CITY; QUEBEC";;;CANADÁ;AMÉRICA DO NORTE; 46.7911;-71.393303
OTHH;DOHA;;;QATAR;ÁSIA; 25.273056;51.608056
SVBC;"BARCELONA; ANZOÁTEGUI";;;VENEZUELA;AMÉRICA DO SUL; 10.111111;-64.692222
